CustomerID,Churn Probability
9061-TIHDA,0.749
7074-IEVOJ,0.749
2660-EMUBI,0.749
4086-YQSNZ,0.748
4439-JMPMT,0.748
4548-SDBKE,0.748
8443-WVPSS,0.748
9185-TQCVP,0.747
5520-FVEWJ,0.747
8086-OVPWV,0.746
4236-XPXAV,0.746
0334-GDDSO,0.746
4192-GORJT,0.745
8844-TONUD,0.743
7938-OUHIO,0.743
2856-HYAPG,0.743
0011-IGKFF,0.742
3519-ZKXGG,0.742
5712-PTIWW,0.741
7330-WZLNC,0.741
4234-XTNEA,0.741
0564-JJHGS,0.741
9897-KXHCM,0.74
1569-TTNYJ,0.74
3292-PBZEJ,0.739
2959-MJHIC,0.739
1624-NALOJ,0.739
8739-XNIKG,0.738
5649-ANRML,0.738
2612-RANWT,0.737
2754-SDJRD,0.737
6407-UTSLV,0.735
2027-FECZV,0.735
1571-SAVHK,0.735
7295-JOMMD,0.734
5685-IIXLY,0.734
0306-JAELE,0.734
2952-QAYZF,0.733
0329-GTIAJ,0.733
9025-AOMKI,0.733
2081-VEYEH,0.732
6435-SRWBJ,0.732
8413-VONUO,0.732
5349-IECLD,0.732
6330-JKLPC,0.732
8183-ONMXC,0.732
6015-VVHHE,0.731
3621-CEOVK,0.731
6275-YDUVO,0.73
7817-BOQPW,0.728
5868-YWPDW,0.728
3703-VAVCL,0.728
3422-GALYP,0.727
4285-GYRQC,0.726
6210-KBBPI,0.726
4626-GYCZP,0.725
5318-IXUZF,0.725
3606-TWKGI,0.724
8642-GVWRF,0.724
6734-GMPVK,0.724
8943-URTMR,0.724
4445-ZJNMU,0.724
2180-DXNEG,0.724
4566-NECEV,0.723
5445-UTODQ,0.723
0871-URUWO,0.722
8161-QYMTT,0.721
2205-YMZZJ,0.721
9134-CEQMF,0.721
2929-ERCFZ,0.72
4529-CKBCL,0.72
0013-EXCHZ,0.72
5159-YFPKQ,0.719
6328-ZPBGN,0.719
0722-SVSFK,0.719
5701-YVSVF,0.719
0187-QSXOE,0.718
4060-LDNLU,0.718
3671-SHRSP,0.718
7548-SEPYI,0.718
9430-FRQOC,0.718
9741-YLNTD,0.718
5835-BEQEU,0.718
7508-MYBOG,0.717
8417-FMLZI,0.717
7943-RQCHR,0.717
5760-IFJOZ,0.716
8780-IXSTS,0.716
5380-AFSSK,0.715
2737-YNGYW,0.715
1960-UYCNN,0.715
1579-KLYDT,0.715
5419-CONWX,0.715
3462-BJQQA,0.714
1389-CXMLU,0.713
9050-IKDZA,0.713
5889-LFOLL,0.713
8258-GSTJK,0.713
2845-HSJCY,0.712
3247-ZVOUO,0.712
9290-SHCMB,0.712
5949-XIKAE,0.712
9689-PTNPG,0.712
1522-VVDMG,0.712
1618-CFHME,0.711
9451-LPGOO,0.711
7234-FECYN,0.71
5442-UTCVD,0.71
6979-ZNSFF,0.709
4140-MUHUG,0.709
3420-YJLQT,0.709
1342-JPNKI,0.709
1567-DSCIC,0.708
7613-LLQFO,0.708
1564-NTYXF,0.708
5729-KLZAR,0.707
7598-UAASY,0.707
2951-QOQTK,0.707
3045-XETSH,0.707
2516-VQRRV,0.707
9391-EOYLI,0.706
3398-FSHON,0.706
0680-DFNNY,0.705
3440-JPSCL,0.704
1565-RHDJD,0.704
7576-OYWBN,0.704
5229-PRWKT,0.703
5747-PMBSQ,0.703
7479-NITWS,0.702
2369-UAPKZ,0.702
6969-MVBAI,0.702
2691-NZETQ,0.702
5519-NPHVG,0.701
7858-GTZSP,0.701
2025-JKFWI,0.701
2344-JMOGN,0.7
4822-NGOCH,0.7
3585-ISXZP,0.7
4581-SSPWD,0.7
9611-CTWIH,0.699
6615-NGGZJ,0.699
2397-BRLOM,0.699
9944-HKVVB,0.698
1184-PJVDB,0.698
2215-ZAFGX,0.698
2642-DTVCO,0.698
8058-JMEQO,0.698
0302-JOIVN,0.697
2612-RRIDN,0.697
1173-XZPYF,0.696
3320-VEOYC,0.696
1010-DIAUQ,0.695
4910-AQFFX,0.695
8443-ZRDBZ,0.695
5348-CAGXB,0.695
8931-GJJIQ,0.694
5570-PTWEH,0.693
6326-MTTXK,0.693
7228-OMTPN,0.693
8808-ELEHO,0.693
9734-YWGEX,0.693
2674-MIAHT,0.692
4559-UWIHT,0.692
6357-JJPQT,0.692
8357-EQXFO,0.692
3318-NMQXL,0.692
9221-OTIVJ,0.691
2754-VDLTR,0.691
9965-YOKZB,0.691
7426-RHZGU,0.69
4373-MAVJG,0.689
1583-IHQZE,0.689
6350-XFYGW,0.689
2876-GZYZC,0.688
1678-FYZOW,0.687
6161-UUUTA,0.687
3793-MMFUH,0.687
0135-NMXAP,0.686
8266-VBFQL,0.686
3074-GQWYX,0.686
8414-MYSHR,0.686
4154-AQUGT,0.685
5429-LWCMV,0.685
3834-XUIFC,0.685
1724-BQUHA,0.684
0817-HSUSE,0.684
9436-ZBZCT,0.683
4806-KEXQR,0.683
2774-LVQUS,0.683
8185-UPYBR,0.682
5357-TZHPP,0.682
3473-XIIIT,0.682
2789-HQBOU,0.68
4706-AXVKM,0.68
6424-ELEYH,0.68
9094-AZPHK,0.68
8752-STIVR,0.679
9565-DJPIB,0.679
1320-HTRDR,0.679
7198-GLXTC,0.678
0727-IWKVK,0.678
5565-FILXA,0.678
7235-NXZCP,0.677
0940-OUQEC,0.677
7209-JCUDS,0.677
8714-CTZJW,0.676
4298-OYIFC,0.676
7341-LXCAF,0.675
9921-ZVRHG,0.675
8992-JQYUN,0.675
9231-ZJYAM,0.675
2672-HUYVI,0.675
4210-QFJMF,0.674
5442-XSDCW,0.674
4536-PLEQY,0.674
7363-QTBIW,0.673
1075-BGWOH,0.673
4817-QRJSX,0.672
9837-BMCLM,0.672
5956-VKDTT,0.671
7394-FKDNK,0.671
7563-BIUPC,0.671
3249-ZPQRG,0.67
7786-WBJYI,0.668
3370-HXOPH,0.667
9850-OWRHQ,0.666
8779-QRDMV,0.666
8242-SOQUO,0.665
8519-IMDHU,0.665
4749-OJKQU,0.664
2990-HWIML,0.663
8481-YYXWG,0.663
0325-XBFAC,0.662
6127-ISGTU,0.662
1195-OIYEJ,0.662
9095-HFAFX,0.66
0689-NKYLF,0.66
8361-LTMKD,0.66
4395-PZMSN,0.66
2984-AFWNC,0.659
4847-TAJYI,0.659
7315-WYOAW,0.658
0876-WDUUZ,0.658
7952-OBOYL,0.658
8245-UMPYT,0.657
9274-CNFMO,0.657
4112-LUEIZ,0.656
8861-HGGKB,0.656
8035-PWSEV,0.656
0772-GYEQQ,0.656
3138-BKYAV,0.655
0023-XUOPT,0.655
4145-UQXUQ,0.655
5183-SNMJQ,0.654
2379-ENZGV,0.653
4021-RQSNY,0.653
5047-LHVLY,0.653
4547-KQRTM,0.652
2919-HBCJO,0.652
6204-IEUXJ,0.652
1200-TUZHR,0.652
6110-OHIHY,0.652
2645-QTLMB,0.651
2123-AGEEN,0.651
9306-CPCBC,0.65
3143-JQEGI,0.65
6941-PMGEP,0.65
3583-EKAPL,0.649
7321-PKUYW,0.648
6608-QQLVK,0.648
3776-EKTKM,0.648
8087-LGYHQ,0.648
0923-PNFUB,0.648
2038-OEQZH,0.648
9840-DVNDC,0.647
7571-YXDAD,0.647
1513-XNPPH,0.647
7156-MHUGY,0.647
0378-TOVMS,0.646
5599-HVLTW,0.646
7005-CCBKV,0.646
4115-NZRKS,0.646
9647-ERGBE,0.645
1980-KXVPM,0.645
5501-TVMGM,0.644
3217-FZDMN,0.644
4090-KPJIP,0.644
2276-YDAVZ,0.643
6393-WRYZE,0.643
3063-QFSZL,0.643
3295-YVUSR,0.642
6376-GAHQE,0.642
1508-DFXCU,0.642
0674-EYYZV,0.642
6060-DRTNL,0.642
0225-ZORZP,0.642
9822-OAOVB,0.641
8280-MQRQN,0.64
4074-SJFFA,0.64
5228-EXCET,0.639
1704-NRWYE,0.639
3677-IYRBF,0.639
3338-CVVEH,0.639
8397-MVTAZ,0.639
3916-NRPAP,0.638
4039-HEUNW,0.638
6229-LSCKB,0.638
1768-ZAIFU,0.638
3317-VLGQT,0.638
2761-OCIAX,0.638
9625-QSTYE,0.638
4678-DVQEO,0.637
7181-BQYBV,0.637
9637-EIHEQ,0.637
3411-WLRSQ,0.637
2386-LAHRK,0.637
4929-BSTRX,0.637
0023-HGHWL,0.637
9846-GKXAS,0.636
3374-LXDEV,0.636
3663-MITLP,0.636
5909-ECHUI,0.636
0236-HFWSV,0.636
9334-GWGOW,0.636
2077-MPJQO,0.635
6702-OHFWR,0.634
6629-CZTTH,0.634
1965-AKTSX,0.634
7932-WPTDS,0.634
1771-OADNZ,0.634
9093-FPDLG,0.634
0722-TROQR,0.634
1670-SVOWZ,0.634
8083-YTZES,0.634
0928-XUTSN,0.634
7767-UXAGJ,0.634
0684-AOSIH,0.633
1268-ASBGA,0.633
6851-WEFYX,0.633
0258-NOKBL,0.633
4351-QLCSU,0.633
4059-IIEBK,0.633
6127-IYJOZ,0.632
0661-XEYAN,0.632
1496-GGSUK,0.632
0125-LZQXK,0.632
9102-IAYHT,0.632
7861-UVUFT,0.631
6356-ELRKD,0.631
6918-UMQCG,0.631
0432-CAJZV,0.631
4884-ZTHVF,0.631
4514-GFCFI,0.63
1104-TNLZA,0.63
8676-TRMJS,0.63
2430-USGXP,0.63
3518-PZXZQ,0.63
6899-PPEEA,0.63
3372-KWFBM,0.63
1197-BVMVG,0.63
2154-KVJFF,0.629
6087-MVHJH,0.629
1867-BDVFH,0.629
2135-DQWAQ,0.629
1602-IJQQE,0.629
0925-VYDLG,0.629
1028-FFNJK,0.629
8010-EZLOU,0.629
1024-VRZHF,0.629
1309-BXVOQ,0.628
9809-IMGCQ,0.628
6856-RAURS,0.628
6689-TCZHQ,0.627
6680-WKXRZ,0.627
2568-OIADY,0.627
9058-CBREO,0.627
3001-CBHLQ,0.627
2845-AFFTX,0.626
7568-PODML,0.625
2485-ITVKB,0.625
8699-ASUFO,0.624
6116-RFVHN,0.624
7517-LDMPS,0.624
0875-CABNR,0.624
6030-REHUX,0.624
0822-GAVAP,0.624
3908-BLSYF,0.623
6583-KQJLK,0.623
6000-APYLU,0.622
7028-DVOIQ,0.622
8107-KNCIM,0.622
3091-FYHKI,0.621
0345-HKJVM,0.621
9696-RMYBA,0.621
0841-NULXI,0.621
4277-PVRAN,0.62
6221-AVQYL,0.62
4585-HETAI,0.62
0115-TFERT,0.62
2983-ZANRP,0.62
4735-ASGMA,0.619
1262-OPMFY,0.619
8118-LSUEL,0.619
7079-QRCBC,0.618
0947-IDHRQ,0.618
8625-AZYZY,0.618
6683-VLCTZ,0.618
2905-KFQUV,0.617
3393-FMZPV,0.617
3877-JRJIP,0.617
7638-QVMVY,0.617
6543-XRMYR,0.617
6437-UKHMV,0.617
4597-NUCQV,0.617
7823-JSOAG,0.617
4572-DVCGN,0.616
1751-NCDLI,0.616
0620-DLSLK,0.616
5673-FSSMF,0.616
1740-CSDJP,0.615
9121-PHQSR,0.615
7969-AULMZ,0.615
1254-IZEYF,0.615
4450-DLLMH,0.615
2026-TGDHM,0.614
6892-XPFPU,0.614
2114-MGINA,0.614
8132-YPVBX,0.614
9283-LZQOH,0.614
9250-WYPLL,0.613
3957-LXOLK,0.613
5919-TMRGD,0.612
4803-AXVYP,0.612
4317-VTEOA,0.612
7903-CMPEY,0.612
4077-CROMM,0.611
6198-ZFIOJ,0.611
8348-HFYIV,0.611
5940-NFXKV,0.61
3672-YITQD,0.61
8111-RKSPX,0.61
2018-QKYGT,0.61
8337-MSSXB,0.61
0939-YAPAF,0.609
5883-GTGVD,0.609
6101-IMRMM,0.609
9606-PBKBQ,0.609
1285-OKIPP,0.609
0576-WNXXC,0.608
4958-XCBDQ,0.608
5378-IKEEG,0.608
5364-EVNIB,0.608
8111-SLLHI,0.608
6907-NZZIJ,0.608
6772-KSATR,0.607
2694-CIUMO,0.607
2740-TVLFN,0.607
6496-JDSSB,0.607
0375-HVGXO,0.607
2880-FPNAE,0.607
2959-FENLU,0.606
4633-MKHYU,0.606
4817-VYYWS,0.606
0147-ESWWR,0.606
8868-WOZGU,0.605
7625-XCQRH,0.605
5216-WASFJ,0.605
5995-SNNEW,0.604
8263-JQAIK,0.604
4273-MBHYA,0.603
0685-MLYYM,0.603
7379-POKDZ,0.603
1976-CFOCS,0.603
8709-KRDVL,0.603
4631-OACRM,0.603
5244-IRFIH,0.603
7392-YYPYJ,0.602
9992-RRAMN,0.601
8802-UNOJF,0.601
8374-XGEJJ,0.601
8225-BTJAU,0.6
9828-AOQLM,0.6
4433-JCGCG,0.6
9253-QXKBE,0.6
4349-GFQHK,0.6
1941-HOSAM,0.6
1660-HSOOQ,0.6
0524-IAVZO,0.599
2260-USTRB,0.599
3966-HRMZA,0.599
2080-GKCWQ,0.598
5980-NOPLP,0.598
6260-ONULR,0.598
5219-YIPTK,0.598
3336-JORSO,0.598
6185-TASNN,0.598
6029-WTIPC,0.598
2357-COQEK,0.598
7089-IVVAZ,0.598
2737-WFVYW,0.598
6986-IXNDM,0.597
5117-IFGPS,0.597
8999-BOHSE,0.597
0506-LVNGN,0.597
6100-QQHEB,0.597
2135-RXIHG,0.596
4629-NRXKX,0.596
4770-UEZOX,0.596
6128-CZOMY,0.596
3946-MHCZW,0.595
1626-ERCMM,0.595
4030-VPZBD,0.595
9172-ANCRX,0.595
1866-RZZQS,0.595
4816-JBHOV,0.595
2809-ZMYOQ,0.594
0616-ATFGB,0.594
6518-LGAOV,0.594
8290-YWKHZ,0.594
7130-VTEWQ,0.594
0390-DCFDQ,0.594
3914-FDRHP,0.594
0248-IPDFW,0.594
7273-TEFQD,0.594
2082-CEFLT,0.594
3754-DXMRT,0.594
3716-UVSPD,0.593
1536-HBSWP,0.593
0224-RLWWD,0.593
0396-YCHWO,0.593
2232-DMLXU,0.593
2265-CYWIV,0.593
3753-TSEMP,0.593
3577-AMVUX,0.592
1122-JWTJW,0.592
8080-DDEMJ,0.592
0420-HLGXF,0.592
4706-DGAHW,0.592
7851-FLGGQ,0.592
0612-RTZZA,0.592
3165-HDOEW,0.592
8356-WUAOJ,0.591
1219-NNDDO,0.591
2984-MIIZL,0.591
2920-RNCEZ,0.591
6906-ANDWJ,0.591
3565-UNOCC,0.591
5077-DXTCG,0.591
7044-YAACC,0.59
0315-LVCRK,0.59
0872-NXJYS,0.59
0887-HJGAR,0.589
2688-BHGOG,0.589
4229-CZMLL,0.589
4854-CIDCF,0.589
9189-JWSHV,0.589
4237-RLAQD,0.589
8019-ENHXU,0.589
5133-POWUA,0.589
9117-SHLZX,0.589
7890-VYYWG,0.589
9773-PEQBZ,0.589
3496-LFSZU,0.588
2507-QZPQS,0.588
9508-ILZDG,0.588
5956-YHHRX,0.588
0365-BZUWY,0.588
4749-VFKVB,0.587
0354-WYROK,0.587
8313-NDOIA,0.587
4193-ORFCL,0.587
3334-CTHOL,0.586
3413-BMNZE,0.586
7142-HVGBG,0.586
7442-YGZFK,0.586
2672-DZUOY,0.586
9907-SWKKF,0.585
1024-GUALD,0.585
2187-PKZAY,0.585
2057-ZBLPD,0.585
6959-UWKHF,0.585
1666-JXLKU,0.585
2697-NQBPF,0.585
8705-WZCYL,0.585
4373-VVHQL,0.585
8835-VSDSE,0.585
8720-RQSBJ,0.585
2665-NPTGL,0.585
4855-SNKMY,0.585
3797-VTIDR,0.584
2439-LYPMQ,0.584
9799-CAYJJ,0.584
9402-ORRAH,0.584
3926-CUQZX,0.584
8063-GBATB,0.584
8714-EUHJO,0.583
3566-HJGPK,0.583
9919-KNPOO,0.583
2103-ZRXFN,0.583
2275-RBYQS,0.583
5692-FPTAH,0.583
7065-YUNRY,0.583
7354-OIJLX,0.583
5696-QURRL,0.583
4727-MCYZG,0.583
9564-KCLHR,0.583
6390-DSAZX,0.582
2082-OJVTK,0.582
0746-JTRFU,0.582
2685-SREOM,0.582
4289-DTDKW,0.581
4315-MURBD,0.581
2107-FBPTK,0.581
2371-JQHZZ,0.581
5928-QLDHB,0.581
4847-QNOKA,0.581
7365-BVCJH,0.581
1845-ZLLIG,0.581
3318-OSATS,0.581
1334-FJSVR,0.58
4512-ZUIYL,0.58
3990-QYKBE,0.58
1965-DDBWU,0.58
8710-YGLWG,0.58
8950-MTZNV,0.58
0337-CNPZE,0.58
3737-GCSPV,0.58
2272-QAGFO,0.579
7537-RBWEA,0.579
2055-PDADH,0.579
8621-MNIHH,0.579
4301-VVZKA,0.579
0362-ZBZWJ,0.579
8180-AKMJV,0.579
6032-IGALN,0.579
7663-RGWBC,0.578
5569-OUICF,0.578
2398-YPMUR,0.578
6705-LXORM,0.578
0082-LDZUE,0.578
6595-COKXZ,0.578
2362-IBOOY,0.578
9912-GVSEQ,0.577
9274-UARKJ,0.577
6650-VJONK,0.577
5138-WVKYJ,0.577
8922-LIEGH,0.577
9214-EKVXR,0.577
3452-GWUIN,0.577
3961-SXAXY,0.577
0004-TLHLJ,0.577
7321-VGNKU,0.577
4822-YCXMX,0.577
3278-FSIXX,0.577
8510-AWCXC,0.577
0674-DGMAQ,0.576
9752-ZNQUT,0.576
9685-WKZGT,0.575
8634-MPHTR,0.575
6267-DCFFZ,0.575
7137-RYLPP,0.574
4367-NHWMM,0.574
0434-CSFON,0.574
1932-UEDCX,0.574
3750-CKVKH,0.574
5288-AHOUP,0.574
4094-NSEDU,0.574
7422-WNBTY,0.573
9330-IJWIO,0.573
9136-ALYBR,0.573
5666-CYCYZ,0.572
7225-CBZPL,0.572
5914-DVBWJ,0.572
6175-IRFIT,0.571
7206-PQBBZ,0.571
6077-BDPXA,0.571
5976-JCJRH,0.571
5955-ERIHD,0.571
3841-CONLJ,0.571
0480-BIXDE,0.571
3721-CNEYS,0.571
5652-MSDEY,0.571
4959-JOSRX,0.57
6651-AZVTJ,0.57
3427-GGZZI,0.57
7912-SYRQT,0.57
5868-CZJDR,0.569
5981-ITEMU,0.569
1541-ETJZO,0.569
0840-DFEZH,0.569
8065-YKXKD,0.569
7590-VHVEG,0.569
7402-EYFXX,0.568
0637-YLETY,0.568
6956-SMUCM,0.568
7854-FOKSF,0.568
5655-JSMZM,0.568
3096-GKWEB,0.568
3550-SAHFP,0.567
6711-FLDFB,0.567
2754-XBHTB,0.567
9514-JDSKI,0.567
1766-GKNMI,0.567
9560-ARGQJ,0.566
9851-QXEEQ,0.566
3312-UUMZW,0.566
2800-VEQXM,0.566
6519-CFDBX,0.566
2207-NHRJK,0.566
4583-PARNH,0.566
0848-ZGQIJ,0.566
6689-KXGBO,0.565
4385-GZQXV,0.565
2792-LSHWX,0.565
2800-QQUSO,0.565
8436-BJUMM,0.565
9889-TMAHG,0.564
8610-WFCJF,0.563
8182-BJDSI,0.563
3751-KTZEL,0.563
6595-YGXIT,0.563
7384-GHBPI,0.563
3223-WZWJM,0.563
9601-BRXPO,0.563
6379-RXJRQ,0.563
0330-IVZHA,0.562
1112-CUNAO,0.562
4342-HENTK,0.562
7029-RPUAV,0.562
2528-HFYZX,0.562
7410-YTJIK,0.562
5482-PLVPE,0.562
0570-BFQHT,0.562
7599-FKVXZ,0.562
6907-FLBER,0.562
3627-FHKBK,0.562
2249-YPRNG,0.562
9398-MMQTO,0.561
5480-HPRRX,0.561
9360-OMDZZ,0.561
